epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7864,2.98193,4.57158,4.20291,0.4641,0,0,0,0,2.88171,4.73545,4.10167,0.40233,0.00329588,0.00329588,0.0703371
2,143.214,2.94988,4.42293,4.09865,0.42123,0.20541,0.02333,0.0032,0.00055,2.92241,5.94059,4.59831,0.40314,0.00656358,0.00656358,0.0402714
3,196.623,2.97781,4.20295,3.99927,0.40595,0.00226,0.04667,0.00167,0.00045,2.98709,28.7405,6.54234,0.40948,0.00976529,0.00976529,0.0101398
4,356.945,2.77888,3.94443,3.81755,0.39651,0.00531,0.0137,0.00025,7e-05,3.83091,128.137,11.9426,0.5501,0.009703,0.009703,0.009703
5,426.743,2.76327,3.75451,3.60543,0.39138,0.46463,0.05214,0.01896,0.00405,2.92949,38.0497,4.39476,0.33562,0.009604,0.009604,0.009604
6,478.197,2.67409,3.40266,3.44388,0.36015,0.15086,0.24621,0.12633,0.03899,2.80982,117.556,3.74632,0.30806,0.009505,0.009505,0.009505
7,522.363,2.4894,3.12974,3.28101,0.33226,0.38825,0.28969,0.23901,0.09122,2.41146,4.06945,3.3046,0.33627,0.009406,0.009406,0.009406
8,564.535,2.37296,2.94415,3.14208,0.315,0.36067,0.25576,0.18011,0.06804,2.19758,4.4731,3.07786,0.26298,0.009307,0.009307,0.009307
9,608.232,2.26789,2.74256,3.081,0.28548,0.35287,0.25457,0.24522,0.099,2.54275,17.7446,3.30139,0.26817,0.009208,0.009208,0.009208
10,652.456,2.18797,2.54127,2.96001,0.27322,0.30931,0.34713,0.3036,0.1121,2.10818,3.67389,2.96336,0.27063,0.009109,0.009109,0.009109
11,694.705,2.11421,2.4276,2.91777,0.25972,0.49415,0.47234,0.4803,0.21442,1.89687,2.69785,2.67968,0.24583,0.00901,0.00901,0.00901
12,737.089,2.08488,2.3608,2.855,0.24339,0.65218,0.26149,0.32542,0.16437,1.9671,6.93793,2.73204,0.26345,0.008911,0.008911,0.008911
