epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3642,2.07093,3.66094,3.15119,0.17036,0.73681,0.36422,0.40183,0.23118,1.57692,2.51119,2.98357,0.15891,0.00326389,0.00326389,0.070625
2,137.168,1.61011,1.8958,2.43614,0.13447,0.75302,0.63296,0.74079,0.45475,1.28103,1.4605,2.30186,0.11449,0.00653191,0.00653191,0.0405597
3,197.033,1.33628,1.22567,2.12303,0.10538,0.83847,0.82567,0.87927,0.53389,1.28625,1.13424,2.16123,0.13659,0.00973393,0.00973393,0.0104284
4,256.002,1.2927,1.09674,1.99399,0.10266,0.80383,0.8781,0.90994,0.55922,1.23945,1.08263,1.98675,0.11467,0.009703,0.009703,0.009703
5,324.282,1.20723,1.01749,1.85397,0.09396,0.82823,0.91157,0.89472,0.55581,1.14049,1.09877,1.91476,0.08679,0.009604,0.009604,0.009604
6,390.153,1.171,0.97209,1.77396,0.09199,0.86591,0.88907,0.91466,0.61692,1.13579,1.00309,1.75004,0.12356,0.009505,0.009505,0.009505
7,443.684,1.15058,0.91609,1.73194,0.08684,0.88877,0.88656,0.92726,0.61338,1.10328,0.88033,1.6688,0.08866,0.009406,0.009406,0.009406
8,498.424,1.10332,0.85077,1.69782,0.09544,0.88888,0.87611,0.92589,0.63635,1.09588,0.84743,1.74848,0.07684,0.009307,0.009307,0.009307
9,558.354,1.10489,0.8591,1.70249,0.08974,0.82238,0.91303,0.9105,0.60634,1.06771,1.02073,1.64704,0.09088,0.009208,0.009208,0.009208
10,610.123,1.06803,0.83294,1.65901,0.08728,0.88573,0.93552,0.95188,0.70635,0.93567,0.80804,1.55671,0.06172,0.009109,0.009109,0.009109
11,665.55,1.05604,0.79954,1.61213,0.08312,0.87875,0.94129,0.92375,0.67739,0.97041,0.82195,1.62715,0.10767,0.00901,0.00901,0.00901
12,721.775,1.06603,0.82289,1.63098,0.0844,0.89447,0.86882,0.94918,0.72858,0.90842,0.65849,1.55434,0.07687,0.008911,0.008911,0.008911
13,777.458,1.05383,0.78101,1.57336,0.087,0.93128,0.94667,0.96596,0.73942,0.87884,0.61644,1.52737,0.08026,0.008812,0.008812,0.008812
14,834.191,1.04106,0.78492,1.58328,0.08375,0.92047,0.94931,0.9664,0.71965,0.8979,0.62624,1.51006,0.06325,0.008713,0.008713,0.008713
15,889.572,1.01224,0.74218,1.55184,0.09048,0.94711,0.94616,0.97235,0.72663,0.86149,0.55876,1.47748,0.06139,0.008614,0.008614,0.008614
16,946.947,1.00588,0.75391,1.52574,0.08525,0.96599,0.9353,0.97437,0.73717,0.86866,0.57095,1.48322,0.05732,0.008515,0.008515,0.008515
17,1002.31,0.97875,0.72817,1.50752,0.06994,0.93651,0.9483,0.96997,0.72705,0.8694,0.6028,1.4475,0.05654,0.008416,0.008416,0.008416
18,1056.01,0.95512,0.70819,1.4653,0.07123,0.92773,0.94523,0.96091,0.71981,0.8211,0.63962,1.40488,0.0524,0.008317,0.008317,0.008317
19,1110.01,0.95626,0.70592,1.4582,0.06912,0.78441,0.90144,0.92822,0.66059,0.93225,0.9579,1.50684,0.05686,0.008218,0.008218,0.008218
20,1163.7,0.95099,0.70622,1.45208,0.07536,0.91585,0.97136,0.96877,0.73468,0.87609,0.62481,1.42933,0.05257,0.008119,0.008119,0.008119
21,1224.47,0.93404,0.68646,1.47989,0.06922,0.90249,0.93955,0.95486,0.70921,0.91405,0.6284,1.49771,0.07361,0.00802,0.00802,0.00802
22,1281.35,0.93418,0.67493,1.46318,0.0673,0.94818,0.94532,0.97575,0.75905,0.80209,0.54699,1.42508,0.05534,0.007921,0.007921,0.007921
23,1334.67,0.91878,0.67402,1.39928,0.0713,0.95645,0.95237,0.97442,0.75477,0.79618,0.54768,1.36075,0.05171,0.007822,0.007822,0.007822
24,1385.47,0.9314,0.67649,1.41461,0.06913,0.95978,0.9479,0.97088,0.74632,0.79135,0.54407,1.36547,0.05937,0.007723,0.007723,0.007723
25,1436.41,0.89827,0.65631,1.39719,0.06809,0.96502,0.95989,0.98229,0.75048,0.80117,0.54678,1.33755,0.05795,0.007624,0.007624,0.007624
26,1489.09,0.90144,0.68119,1.416,0.06736,0.94298,0.94573,0.97775,0.76279,0.82625,0.5615,1.35371,0.045,0.007525,0.007525,0.007525
27,1541.79,0.89142,0.6587,1.39046,0.06537,0.94452,0.96578,0.97429,0.77176,0.77137,0.5,1.34636,0.04569,0.007426,0.007426,0.007426
28,1592.58,0.88962,0.63905,1.38297,0.06181,0.92584,0.95183,0.98217,0.79341,0.75419,0.50384,1.33568,0.03477,0.007327,0.007327,0.007327
29,1643.29,0.85917,0.62997,1.36585,0.0625,0.95495,0.95518,0.98494,0.77732,0.75158,0.51905,1.32083,0.04976,0.007228,0.007228,0.007228
30,1693.93,0.86441,0.6218,1.37674,0.05895,0.9451,0.94178,0.97722,0.78224,0.74489,0.51929,1.33779,0.0443,0.007129,0.007129,0.007129
31,1745.3,0.8676,0.6226,1.35427,0.05761,0.92843,0.95946,0.972,0.7673,0.77933,0.57166,1.36534,0.04614,0.00703,0.00703,0.00703
32,1795.72,0.86191,0.61382,1.34961,0.06539,0.94335,0.95735,0.97858,0.76495,0.7791,0.51791,1.37262,0.05129,0.006931,0.006931,0.006931
33,1847.55,0.86711,0.62915,1.36826,0.06486,0.96199,0.9464,0.97939,0.78165,0.72692,0.4977,1.33419,0.0476,0.006832,0.006832,0.006832
34,1898.26,0.84412,0.63023,1.34318,0.05915,0.95217,0.95697,0.97803,0.77902,0.76011,0.49762,1.32035,0.04308,0.006733,0.006733,0.006733
35,1948.85,0.8171,0.58694,1.30867,0.05567,0.94598,0.97647,0.98513,0.79137,0.70845,0.47207,1.29912,0.04186,0.006634,0.006634,0.006634
36,1998.27,0.84628,0.6044,1.33968,0.05824,0.93369,0.96544,0.9787,0.79741,0.72237,0.49635,1.31503,0.04241,0.006535,0.006535,0.006535
37,2048.74,0.83028,0.59503,1.33612,0.05748,0.94177,0.95279,0.97993,0.7873,0.71956,0.4916,1.30807,0.04215,0.006436,0.006436,0.006436
38,2098.76,0.8066,0.57723,1.31424,0.05343,0.94446,0.96588,0.98137,0.79528,0.73899,0.53615,1.32129,0.03646,0.006337,0.006337,0.006337
39,2149.37,0.81585,0.5776,1.31974,0.05382,0.95926,0.95315,0.98457,0.79696,0.73337,0.48847,1.30717,0.03583,0.006238,0.006238,0.006238
40,2200.16,0.83063,0.5974,1.34245,0.054,0.97117,0.96993,0.99235,0.80449,0.70892,0.45233,1.29115,0.0388,0.006139,0.006139,0.006139
41,2250.87,0.80468,0.57018,1.31117,0.05538,0.97906,0.9529,0.98595,0.81228,0.69783,0.46334,1.30673,0.03782,0.00604,0.00604,0.00604
42,2301.52,0.79726,0.58352,1.31159,0.04992,0.9421,0.95637,0.97141,0.80688,0.72497,0.53505,1.32676,0.03768,0.005941,0.005941,0.005941
43,2352.32,0.78757,0.56604,1.3081,0.05327,0.95844,0.97058,0.98623,0.82462,0.69505,0.46129,1.29253,0.03741,0.005842,0.005842,0.005842
44,2402.1,0.79395,0.56915,1.30825,0.05432,0.96286,0.96423,0.98509,0.80009,0.71522,0.46475,1.28124,0.03707,0.005743,0.005743,0.005743
45,2452.69,0.76832,0.56232,1.28247,0.04964,0.98591,0.96786,0.98298,0.8062,0.71503,0.44703,1.30232,0.03397,0.005644,0.005644,0.005644
