epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,111.177,2.05908,3.58195,3.09348,0.17404,0.88139,0.31456,0.395,0.22873,1.66307,2.55391,2.83335,0.10363,0.00327869,0.00327869,0.0704918
2,185.435,1.5652,1.7771,2.32852,0.12883,0.73332,0.76414,0.80793,0.46491,1.34536,1.42601,2.20627,0.16537,0.0065902,0.0065902,0.04047
3,250.857,1.37597,1.25325,2.03982,0.11031,0.74241,0.81067,0.86078,0.54219,1.30713,1.11916,1.99155,0.10703,0.00987972,0.00987972,0.0104262
4,313.576,1.27718,1.11234,1.9109,0.1126,0.85552,0.81297,0.89424,0.55719,1.1858,1.08128,1.88829,0.07252,0.009901,0.009901,0.009901
5,385.507,1.2371,1.03744,1.76287,0.10498,0.77396,0.86882,0.87852,0.54758,1.11564,1.03857,1.77325,0.09468,0.009868,0.009868,0.009868
6,459.331,1.18978,0.98552,1.74183,0.10432,0.86219,0.91082,0.93426,0.62861,1.10147,0.84994,1.68526,0.10703,0.009835,0.009835,0.009835
7,532.589,1.13944,0.90669,1.68699,0.08999,0.88215,0.9261,0.94066,0.66222,0.98206,0.77741,1.62234,0.07738,0.009802,0.009802,0.009802
8,596.925,1.14395,0.89243,1.67317,0.09572,0.89128,0.82566,0.91668,0.63789,1.06616,0.92776,1.60776,0.08906,0.009769,0.009769,0.009769
9,656.801,1.12461,0.85184,1.62943,0.10058,0.89272,0.93059,0.93885,0.67963,0.96443,0.77694,1.57736,0.07423,0.009736,0.009736,0.009736
10,715.98,1.09706,0.8422,1.59418,0.0897,0.8688,0.88692,0.95114,0.66704,1.00236,0.76913,1.56939,0.0771,0.009703,0.009703,0.009703
11,775.242,1.10024,0.83431,1.55544,0.09827,0.84025,0.93981,0.93146,0.68069,0.9679,0.82384,1.57327,0.08344,0.00967,0.00967,0.00967
12,833.91,1.06199,0.80455,1.53631,0.08909,0.86084,0.94326,0.94913,0.69439,0.92946,0.74857,1.51139,0.06441,0.009637,0.009637,0.009637
13,892.507,1.04006,0.78901,1.53164,0.08294,0.93223,0.93755,0.96989,0.74704,0.85992,0.61638,1.45816,0.05335,0.009604,0.009604,0.009604
14,950.875,1.03216,0.76225,1.50911,0.0901,0.92735,0.94704,0.97085,0.73788,0.87035,0.62221,1.45751,0.06784,0.009571,0.009571,0.009571
15,1009.78,1.00954,0.75461,1.46342,0.08733,0.95872,0.92885,0.96649,0.72462,0.9162,0.60097,1.49845,0.06838,0.009538,0.009538,0.009538
16,1068.58,0.99787,0.73816,1.45927,0.08557,0.90674,0.933,0.95447,0.73157,0.86568,0.62163,1.47596,0.0677,0.009505,0.009505,0.009505
17,1126.99,1.00058,0.73224,1.44692,0.08393,0.94146,0.93988,0.96685,0.75664,0.86219,0.59871,1.45303,0.06133,0.009472,0.009472,0.009472
18,1185.9,1.00068,0.74033,1.45375,0.08553,0.94097,0.95082,0.97026,0.69841,0.93122,0.6206,1.44633,0.06841,0.009439,0.009439,0.009439
19,1244.4,0.98426,0.71219,1.43584,0.07934,0.95407,0.9533,0.97236,0.77398,0.83015,0.60742,1.43015,0.05459,0.009406,0.009406,0.009406
20,1308.1,0.99223,0.72063,1.42731,0.07537,0.91782,0.96689,0.97247,0.75243,0.8651,0.60613,1.40943,0.05333,0.009373,0.009373,0.009373
21,1378.54,0.93269,0.69169,1.39019,0.07588,0.93306,0.95225,0.97136,0.75219,0.86528,0.58435,1.45807,0.07192,0.00934,0.00934,0.00934
22,1439.25,0.92778,0.67431,1.39792,0.06613,0.94679,0.95035,0.96214,0.76146,0.80229,0.56375,1.41449,0.05329,0.009307,0.009307,0.009307
23,1499.89,0.92869,0.67275,1.39922,0.07485,0.93694,0.9557,0.97114,0.75791,0.82633,0.59285,1.42124,0.05587,0.009274,0.009274,0.009274
24,1562.22,0.92924,0.67201,1.36987,0.06973,0.92225,0.94411,0.96839,0.75651,0.81872,0.60727,1.38765,0.04869,0.009241,0.009241,0.009241
25,1623.23,0.92618,0.67424,1.37933,0.06847,0.94308,0.95245,0.96972,0.7565,0.83815,0.56797,1.41003,0.05323,0.009208,0.009208,0.009208
26,1686.97,0.93285,0.66362,1.37218,0.0746,0.94341,0.95754,0.97017,0.7525,0.81754,0.56272,1.36828,0.05041,0.009175,0.009175,0.009175
27,1745.73,0.90627,0.6659,1.37312,0.07143,0.95417,0.94784,0.97055,0.76822,0.81714,0.57721,1.3783,0.05956,0.009142,0.009142,0.009142
28,1806.58,0.93062,0.67358,1.3893,0.06978,0.95134,0.94812,0.97161,0.75688,0.78608,0.51969,1.3704,0.04607,0.009109,0.009109,0.009109
29,1865.96,0.89724,0.64666,1.35828,0.06583,0.94919,0.95663,0.97401,0.75846,0.80183,0.5351,1.41546,0.03914,0.009076,0.009076,0.009076
30,1924.21,0.90799,0.65238,1.38801,0.06918,0.9117,0.96454,0.96579,0.7484,0.82312,0.65128,1.41329,0.0436,0.009043,0.009043,0.009043
31,1982.31,0.8999,0.63926,1.35457,0.06641,0.95366,0.96517,0.97625,0.78291,0.74566,0.51917,1.33025,0.03807,0.00901,0.00901,0.00901
32,2040.08,0.89592,0.65388,1.34411,0.06007,0.94488,0.97676,0.98069,0.77683,0.76747,0.52666,1.36064,0.03428,0.008977,0.008977,0.008977
33,2098.02,0.87088,0.62979,1.34597,0.0635,0.93726,0.96278,0.96879,0.78471,0.75034,0.54677,1.36078,0.04711,0.008944,0.008944,0.008944
34,2155.67,0.87384,0.62565,1.33367,0.06355,0.97332,0.96135,0.97902,0.78657,0.74809,0.48291,1.32902,0.03251,0.008911,0.008911,0.008911
35,2213.6,0.85619,0.61149,1.32636,0.05986,0.95096,0.97089,0.97796,0.77304,0.79509,0.51391,1.35052,0.0338,0.008878,0.008878,0.008878
36,2272.09,0.8566,0.6264,1.33101,0.06424,0.94507,0.9582,0.97416,0.79592,0.73823,0.50885,1.36007,0.03671,0.008845,0.008845,0.008845
37,2329.91,0.84202,0.60137,1.3385,0.06374,0.95952,0.96243,0.9822,0.79857,0.71518,0.48347,1.35711,0.03275,0.008812,0.008812,0.008812
38,2387.15,0.86181,0.6122,1.33618,0.05802,0.93633,0.93561,0.97293,0.74994,0.81752,0.61879,1.39247,0.05465,0.008779,0.008779,0.008779
39,2445.63,0.84083,0.61128,1.31617,0.0579,0.95178,0.94775,0.97176,0.79149,0.76549,0.51107,1.34989,0.04387,0.008746,0.008746,0.008746
40,2503.83,0.83742,0.59857,1.31434,0.05494,0.93543,0.97911,0.97681,0.79811,0.74855,0.49918,1.34842,0.02816,0.008713,0.008713,0.008713
41,2562.02,0.84239,0.60967,1.33991,0.0633,0.9608,0.96586,0.98665,0.79947,0.70975,0.48174,1.34834,0.03074,0.00868,0.00868,0.00868
42,2619.65,0.84189,0.61789,1.30725,0.05411,0.95929,0.95435,0.98483,0.81439,0.73156,0.50439,1.35147,0.03231,0.008647,0.008647,0.008647
43,2677.42,0.84321,0.60807,1.33027,0.06369,0.96861,0.96871,0.98869,0.81163,0.71289,0.47108,1.34196,0.03264,0.008614,0.008614,0.008614
44,2735.53,0.82986,0.59062,1.30138,0.05796,0.95825,0.96279,0.97779,0.7918,0.75434,0.487,1.36099,0.02994,0.008581,0.008581,0.008581
45,2793.39,0.82822,0.6007,1.3064,0.05418,0.95236,0.96933,0.97467,0.80868,0.71353,0.51401,1.31972,0.03523,0.008548,0.008548,0.008548
46,2851.99,0.82588,0.58622,1.30364,0.05971,0.93789,0.97183,0.9866,0.81337,0.7293,0.51635,1.28269,0.02583,0.008515,0.008515,0.008515
47,2909.91,0.80762,0.57696,1.28534,0.05413,0.95519,0.95897,0.98345,0.81179,0.7259,0.48451,1.30654,0.02767,0.008482,0.008482,0.008482
48,2968.21,0.8284,0.5997,1.30338,0.05682,0.94156,0.96299,0.97946,0.79884,0.72244,0.52134,1.29704,0.0312,0.008449,0.008449,0.008449
49,3025.72,0.82586,0.59323,1.30903,0.05453,0.95079,0.96477,0.97951,0.80889,0.70762,0.49195,1.29327,0.02895,0.008416,0.008416,0.008416
50,3083.28,0.80913,0.56369,1.29639,0.04844,0.95877,0.96872,0.98653,0.80122,0.70574,0.46898,1.31498,0.04743,0.008383,0.008383,0.008383
51,3141.53,0.81238,0.57444,1.2814,0.05465,0.94529,0.97948,0.97817,0.82544,0.69585,0.50318,1.2755,0.03242,0.00835,0.00835,0.00835
52,3199.52,0.79901,0.56877,1.28504,0.05773,0.93232,0.97164,0.97324,0.80675,0.7093,0.50593,1.32451,0.03258,0.008317,0.008317,0.008317
53,3257.27,0.80765,0.57706,1.28511,0.05284,0.96243,0.97798,0.98555,0.81891,0.67663,0.46301,1.27243,0.0297,0.008284,0.008284,0.008284
54,3315.15,0.80528,0.56999,1.29545,0.05601,0.96729,0.956,0.98179,0.80994,0.6855,0.44983,1.28231,0.03324,0.008251,0.008251,0.008251
55,3373.31,0.78938,0.55328,1.27459,0.05028,0.95615,0.96334,0.98007,0.7868,0.73703,0.47383,1.31384,0.04459,0.008218,0.008218,0.008218
56,3430.86,0.79116,0.55791,1.27748,0.05017,0.95949,0.96489,0.98047,0.80678,0.6899,0.48875,1.3145,0.02261,0.008185,0.008185,0.008185
57,3489.07,0.78485,0.55466,1.26493,0.05042,0.97303,0.96874,0.98832,0.80596,0.75351,0.47771,1.3197,0.03236,0.008152,0.008152,0.008152
58,3547.8,0.80666,0.57172,1.28285,0.05243,0.96139,0.96857,0.98614,0.81905,0.69386,0.46458,1.33054,0.03137,0.008119,0.008119,0.008119
59,3606.01,0.80931,0.57374,1.28349,0.0548,0.9528,0.9662,0.9843,0.82129,0.69982,0.47542,1.31108,0.02474,0.008086,0.008086,0.008086
60,3663.56,0.79352,0.57323,1.27681,0.05201,0.97084,0.96969,0.98559,0.79952,0.69614,0.44236,1.29437,0.02736,0.008053,0.008053,0.008053
61,3722.78,0.77281,0.54384,1.26816,0.05089,0.96352,0.97768,0.98928,0.79554,0.68361,0.44907,1.30108,0.02858,0.00802,0.00802,0.00802
62,3780.58,0.77411,0.54155,1.26084,0.04675,0.95944,0.97717,0.98725,0.81691,0.67702,0.44881,1.27161,0.0308,0.007987,0.007987,0.007987
63,3838.18,0.79855,0.55592,1.27946,0.05,0.96351,0.97017,0.98656,0.81905,0.68164,0.42913,1.27604,0.03006,0.007954,0.007954,0.007954
64,3895.82,0.78137,0.55736,1.27127,0.05212,0.96059,0.97066,0.98789,0.82385,0.68583,0.43733,1.30227,0.03054,0.007921,0.007921,0.007921
65,3953.68,0.76714,0.55713,1.25574,0.05111,0.96647,0.95936,0.98473,0.81167,0.69204,0.44404,1.29522,0.02857,0.007888,0.007888,0.007888
66,4011.35,0.77348,0.54231,1.25486,0.04895,0.95448,0.96729,0.98476,0.81714,0.69334,0.45266,1.28402,0.03696,0.007855,0.007855,0.007855
67,4069.46,0.76826,0.54391,1.24123,0.05344,0.96481,0.96937,0.98796,0.82087,0.65769,0.42123,1.27014,0.03456,0.007822,0.007822,0.007822
68,4127.18,0.77442,0.54223,1.25428,0.04943,0.97037,0.97752,0.98732,0.83621,0.65313,0.42533,1.26469,0.02927,0.007789,0.007789,0.007789
69,4184.82,0.76909,0.53274,1.26613,0.05088,0.94134,0.96211,0.98602,0.7993,0.69641,0.4673,1.32425,0.02472,0.007756,0.007756,0.007756
70,4242.53,0.77967,0.55503,1.25379,0.04779,0.93806,0.96786,0.98507,0.81631,0.67191,0.44298,1.24889,0.0252,0.007723,0.007723,0.007723
71,4299.53,0.75374,0.52513,1.23066,0.04248,0.96204,0.96487,0.98521,0.80856,0.72464,0.45908,1.28695,0.02689,0.00769,0.00769,0.00769
72,4357.52,0.76399,0.53448,1.24144,0.04833,0.95357,0.97793,0.9848,0.8203,0.69102,0.46534,1.29893,0.02776,0.007657,0.007657,0.007657
73,4415.04,0.77185,0.53347,1.24793,0.04903,0.98197,0.96248,0.98545,0.80605,0.70824,0.45221,1.31314,0.03564,0.007624,0.007624,0.007624
74,4472.33,0.75561,0.53457,1.24405,0.0497,0.96075,0.95648,0.97841,0.81332,0.6939,0.46863,1.29734,0.02843,0.007591,0.007591,0.007591
75,4530.48,0.76548,0.54245,1.26007,0.04817,0.94785,0.97944,0.97064,0.81634,0.67324,0.46435,1.25928,0.02614,0.007558,0.007558,0.007558
