epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4941,2.06587,3.61836,3.21606,0.17631,0.43961,0.51558,0.48977,0.28836,1.51539,2.47102,2.96163,0.09451,0.00325926,0.00325926,0.0706667
2,141.479,1.56051,1.89637,2.46329,0.12561,0.75995,0.69322,0.78591,0.47349,1.35888,1.63715,2.49305,0.09197,0.00657084,0.00657084,0.0406449
3,207.14,1.4017,1.33682,2.18621,0.1078,0.77112,0.83915,0.89832,0.55293,1.23496,1.17449,2.16554,0.1038,0.00986041,0.00986041,0.0106012
4,244.488,1.28708,1.09491,1.98479,0.11029,0.82066,0.85037,0.91382,0.56352,1.22124,1.20274,1.97971,0.11422,0.009901,0.009901,0.009901
5,280.1,1.25436,1.04338,1.86426,0.10507,0.79832,0.89831,0.93216,0.59571,1.1474,1.00002,1.79727,0.09013,0.009868,0.009868,0.009868
6,315.605,1.19117,0.96024,1.76122,0.09309,0.79168,0.90009,0.88015,0.60173,1.09476,0.94673,1.75015,0.09837,0.009835,0.009835,0.009835
7,351.4,1.1894,0.94811,1.76986,0.09062,0.8762,0.90109,0.94821,0.66585,1.03818,0.75355,1.66715,0.08622,0.009802,0.009802,0.009802
8,386.929,1.13247,0.89284,1.69528,0.09088,0.79064,0.91297,0.91147,0.64124,1.04662,1.10671,1.66586,0.08315,0.009769,0.009769,0.009769
9,423.036,1.12042,0.87677,1.67403,0.08655,0.87641,0.92788,0.94474,0.71201,0.94561,0.74645,1.52508,0.07231,0.009736,0.009736,0.009736
10,458.811,1.08879,0.84709,1.65781,0.09498,0.88032,0.90689,0.93816,0.65857,1.02479,0.86216,1.6311,0.07108,0.009703,0.009703,0.009703
11,494.399,1.06968,0.84098,1.59163,0.08774,0.9376,0.93227,0.96282,0.72805,0.916,0.64374,1.49716,0.06046,0.00967,0.00967,0.00967
12,529.787,1.04937,0.8008,1.60302,0.08677,0.88706,0.95446,0.95482,0.70583,0.92938,0.69959,1.52596,0.07766,0.009637,0.009637,0.009637
13,565.233,1.02667,0.77852,1.57176,0.07354,0.87438,0.92167,0.95844,0.65898,0.99738,0.70622,1.57845,0.09342,0.009604,0.009604,0.009604
14,601.168,1.05071,0.77226,1.5617,0.0866,0.91275,0.93654,0.96258,0.72543,0.86962,0.68709,1.49673,0.06219,0.009571,0.009571,0.009571
15,636.831,1.01313,0.75121,1.533,0.08315,0.90684,0.94283,0.95824,0.70973,0.90939,0.68397,1.49256,0.07592,0.009538,0.009538,0.009538
16,672.665,0.98763,0.73501,1.50128,0.07813,0.93495,0.95922,0.97251,0.72393,0.88216,0.59553,1.43411,0.05508,0.009505,0.009505,0.009505
17,708.167,0.99333,0.73091,1.50672,0.07932,0.91819,0.94155,0.96672,0.74106,0.86211,0.60723,1.41926,0.06823,0.009472,0.009472,0.009472
18,743.85,0.95626,0.71803,1.45305,0.07506,0.92928,0.95308,0.96556,0.74138,0.83817,0.57708,1.40239,0.06205,0.009439,0.009439,0.009439
19,779.506,0.97081,0.71521,1.47687,0.07246,0.93447,0.92337,0.95801,0.73887,0.87835,0.61674,1.38945,0.06067,0.009406,0.009406,0.009406
20,815.402,0.95964,0.71222,1.44168,0.07717,0.93818,0.91299,0.96949,0.72987,0.88279,0.63027,1.42877,0.07386,0.009373,0.009373,0.009373
21,850.626,0.9637,0.71234,1.4239,0.07941,0.91509,0.9398,0.96686,0.75057,0.82876,0.60236,1.38163,0.05378,0.00934,0.00934,0.00934
22,886.131,0.93443,0.68379,1.43722,0.07035,0.90963,0.91716,0.94258,0.73677,0.83258,0.64515,1.4111,0.04631,0.009307,0.009307,0.009307
23,921.564,0.95639,0.72254,1.44545,0.07722,0.94359,0.94216,0.9714,0.76475,0.81333,0.5513,1.39108,0.04434,0.009274,0.009274,0.009274
24,956.936,0.94427,0.7063,1.42131,0.07426,0.95403,0.95761,0.97886,0.75172,0.8137,0.56705,1.36816,0.06421,0.009241,0.009241,0.009241
25,992.887,0.93988,0.70839,1.44901,0.07224,0.93852,0.95369,0.96985,0.74863,0.83043,0.60147,1.37359,0.05449,0.009208,0.009208,0.009208
26,1028.92,0.90438,0.65973,1.40361,0.06677,0.96856,0.93766,0.98312,0.77906,0.8013,0.52859,1.37155,0.03491,0.009175,0.009175,0.009175
27,1064.27,0.91261,0.65723,1.42353,0.06944,0.96626,0.95027,0.9776,0.77639,0.76122,0.53324,1.3394,0.04256,0.009142,0.009142,0.009142
28,1099.57,0.91103,0.65288,1.39005,0.06689,0.94329,0.94195,0.97808,0.74791,0.80857,0.56606,1.38864,0.05302,0.009109,0.009109,0.009109
29,1134.88,0.90145,0.66403,1.40012,0.06522,0.97276,0.95539,0.9787,0.76886,0.79117,0.53624,1.38573,0.04872,0.009076,0.009076,0.009076
30,1170.25,0.88701,0.64019,1.39794,0.06547,0.94338,0.96017,0.97015,0.77555,0.7588,0.51911,1.35683,0.04614,0.009043,0.009043,0.009043
31,1205.81,0.90201,0.64587,1.38294,0.06488,0.91599,0.94707,0.96739,0.75429,0.78476,0.61594,1.39257,0.04977,0.00901,0.00901,0.00901
32,1241.82,0.86741,0.64487,1.36354,0.06098,0.57035,0.82338,0.75212,0.54005,1.07379,1.64937,1.63121,0.10025,0.008977,0.008977,0.008977
33,1277.31,0.88999,0.63614,1.37352,0.06412,0.94865,0.95963,0.97986,0.76226,0.778,0.53357,1.38376,0.03095,0.008944,0.008944,0.008944
34,1312.75,0.8752,0.63754,1.35826,0.05711,0.96713,0.95805,0.98224,0.77974,0.77621,0.51481,1.38221,0.04266,0.008911,0.008911,0.008911
35,1348.36,0.87218,0.62498,1.36048,0.06262,0.93222,0.96426,0.96312,0.7705,0.75707,0.53712,1.35018,0.04337,0.008878,0.008878,0.008878
