epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,846.207,1.41026,8.55251,0.6921,1.15077,1.75588,0.94337,0.91081,0.96267,0.67242,0.12509,0.0692,0.01471,0.00154,1.1641,7.73598,0.55352,0.62865,1.46377,0.00333043,0.00333043,0.0700261
2,1620.66,1.1771,6.47892,0.63091,0.87376,1.53539,0.92253,0.90907,0.9579,0.63277,0.58005,0.35168,0.25453,0.04787,1.25357,6.02692,0.3864,0.66226,1.559,0.00655382,0.00655382,0.0399161
3,2344.11,1.20664,5.93084,0.53584,0.92998,1.55826,0.88885,0.87946,0.93515,0.57682,0.47014,0.32293,0.21743,0.04428,1.36161,5.83066,0.24023,0.79684,1.65067,0.0096672,0.0096672,0.00969618
4,3178.06,1.22204,5.6941,0.44147,0.95838,1.56652,0.93513,0.93131,0.97323,0.72655,0.73686,0.53167,0.48327,0.15117,0.96957,4.7479,0.18857,0.57805,1.32857,0.009505,0.009505,0.009505
5,3850.63,1.14117,5.16684,0.39896,0.87594,1.5008,0.94978,0.93947,0.97931,0.72942,0.7346,0.58943,0.5366,0.23304,0.98277,4.33349,0.16755,0.53436,1.30218,0.00934,0.00934,0.00934
6,4609.15,1.09253,4.80119,0.37722,0.83062,1.4637,0.92351,0.93654,0.97357,0.74029,0.80483,0.61004,0.60376,0.29549,0.92618,4.03845,0.14826,0.53818,1.27927,0.009175,0.009175,0.009175
7,5344.77,1.06514,4.56583,0.36026,0.79664,1.43717,0.95518,0.94482,0.98244,0.75889,0.77453,0.6103,0.57236,0.30363,0.8843,3.92353,0.11436,0.50025,1.24784,0.00901,0.00901,0.00901
8,5933.8,1.03415,4.32782,0.34693,0.76811,1.41851,0.95747,0.9475,0.98202,0.76148,0.79391,0.65414,0.6374,0.369,0.89111,3.63443,0.124,0.48731,1.23545,0.008845,0.008845,0.008845
9,6518.58,1.01076,4.20287,0.34105,0.74036,1.39864,0.95517,0.94212,0.98067,0.76832,0.8283,0.65515,0.66103,0.39919,0.87867,3.51977,0.11869,0.4792,1.22652,0.00868,0.00868,0.00868
10,7264.42,0.99496,4.07315,0.32979,0.72967,1.38459,0.94577,0.961,0.98382,0.7728,0.80868,0.68166,0.66362,0.39535,0.83886,3.33712,0.11866,0.45255,1.20047,0.008515,0.008515,0.008515
11,7958.82,0.98228,3.95413,0.3221,0.71674,1.37342,0.96089,0.95805,0.98616,0.78277,0.78189,0.65617,0.63534,0.39245,0.82672,3.44016,0.0819,0.43822,1.17794,0.00835,0.00835,0.00835
